family,arm,case,time_s,net_difference_kwh
T1,lookup,dir_p2,920,73.73650920569865
T1,lookup,dir_p2,940,74.07722719528199
T1,lookup,dir_p2,960,78.28607185674032
T1,lookup,dir_p2,980,79.95187420396253
T1,lookup,dir_p2,1000,78.74057962191604
T1,lookup,dir_p2,1020,76.87886158372159
T1,lookup,dir_p2,1040,76.30853858892992
T1,lookup,dir_p2,1060,83.82628943267993
T1,lookup,dir_p2,1080,92.64770022087437
T1,lookup,dir_p2,1100,95.29028656115214
T1,lookup,dir_p2,1120,98.2052071792077
T1,lookup,dir_p2,1140,95.77575632156882
T1,lookup,dir_p2,1160,96.7288727417077
T1,lookup,dir_p2,1180,100.20330527642993
T1,lookup,dir_p2,1200,103.94187706938342
T1,lookup,dir_p2,1220,105.16393935410565
T1,lookup,dir_p2,1240,104.41415646695286
T1,lookup,dir_p2,1260,104.3872664079251
T1,lookup,dir_p2,1280,104.54711330289037
T1,lookup,dir_p2,1300,101.79714495045981
T1,lookup,dir_p2,1320,101.57211367355009
T1,lookup,dir_p2,1340,102.51049986799453
T1,lookup,dir_p2,1360,104.2010997673001
T1,lookup,dir_p2,1380,102.52253729160564
T1,lookup,dir_p2,1400,101.11093789750842
T1,lookup,dir_p2,1420,100.72183903900147
T1,lookup,dir_p2,1440,100.75185030115426
T1,lookup,dir_p2,1460,102.04077681677924
T1,lookup,dir_p2,1480,103.84467100775149
T1,lookup,dir_p2,1500,104.90047964143204
T1,lookup,dir_p2,1520,105.98263216052925
T1,lookup,dir_p2,1540,107.63599076990427
T1,lookup,dir_p2,1560,107.12834748691814
T1,lookup,dir_p2,1580,108.38986100775148
T1,lookup,dir_p2,1600,108.3592626362237
T1,lookup,dir_p2,1620,107.81545698344593
T1,lookup,dir_p2,1640,110.58353632545982
T1,lookup,dir_p2,1660,113.48828943136259
T1,lookup,dir_p2,1680,117.25434729768205
T1,lookup,dir_p2,1700,117.34351016400147
T1,lookup,dir_p2,1720,118.55886466400148
T1,lookup,dir_p2,1740,119.63910392528621
T1,lookup,dir_p2,1760,123.20024250514732
T1,lookup,dir_p2,1780,125.45398735670982
T1,lookup,dir_p2,1800,123.64201425254313
T1,lookup,dir_p2,1820,124.11900635150148
T1,lookup,dir_p2,1840,124.12178548518203
T1,lookup,dir_p2,1860,122.63869798170981
T1,lookup,dir_p2,1880,121.2203337534112
T1,lookup,dir_p2,1900,121.17810567528619
T1,lookup,dir_p2,1920,122.02834131938343
T1,lookup,dir_p2,1940,123.0710918237237
T1,lookup,dir_p2,1960,121.84702421608482
T1,lookup,dir_p2,1980,120.37198395740425
T1,lookup,dir_p2,2000,118.91894858761258
T1,lookup,dir_p2,2020,118.98512098518204
T1,lookup,dir_p2,2040,117.77047237754314
T1,lookup,dir_p2,2060,118.24642195219592
T1,lookup,dir_p2,2080,118.23435725427926
T1,lookup,dir_p2,2100,118.5552088159112
T1,lookup,dir_p2,2120,118.66845337754314
T1,lookup,dir_p2,2140,119.00597336365425
T1,lookup,dir_p2,2160,121.14824089664036
T1,lookup,dir_p2,2180,123.31099516920982
T1,lookup,dir_p2,2200,125.4571552924737
T1,lookup,dir_p2,2220,127.49628562407091
T1,lookup,dir_p2,2240,130.40145813709177
T1,lookup,dir_p2,2260,134.1670528627862
T1,lookup,dir_p2,2280,134.4766791145223
T1,MPC,dir_p5,0,0.0
T1,MPC,dir_p5,20,0.0
T1,MPC,dir_p5,40,0.0
T1,MPC,dir_p5,60,0.0
T1,MPC,dir_p5,80,0.0
T1,MPC,dir_p5,100,0.0
T1,MPC,dir_p5,120,0.0
T1,MPC,dir_p5,140,0.0
T1,MPC,dir_p5,160,0.0
T1,MPC,dir_p5,180,0.0
T1,MPC,dir_p5,200,-1.0916305438758003
T1,MPC,dir_p5,220,-1.2706235768619114
