cell,family,segments,updates,time_s,cumulative_net_difference_kwh,farm_MW,noyaw_MW
OC-73090801__T1,T1,1,2,920,15.269297900011912,12.93243925,13.272825875
OC-73090801__T1,T1,1,2,940,14.060080806261912,13.9777861875,14.347875
OC-73090801__T1,T1,1,2,960,13.399686332303578,14.27452834375,14.2675574375
OC-73090801__T1,T1,1,2,980,13.184457408692465,15.231604875,15.157077
OC-73090801__T1,T1,1,2,1000,14.03346733961222,14.3379129375,14.1189600625
OC-73090801__T1,T1,1,2,1020,14.516850992389998,12.593525875,12.7549359375
OC-73090801__T1,T1,1,2,1040,12.90406649412611,13.1647260625,13.4828211875
OC-73090801__T1,T1,1,2,1060,13.75412402884833,13.9902330625,13.452742125
OC-73090801__T1,T1,1,2,1080,16.54870169898722,14.1363159375,14.2684394375
OC-73090801__T1,T1,1,2,1100,17.528628358709444,13.0873979375,13.126040375
OC-73090801__T1,T1,1,2,1120,17.125441768431664,12.7735679375,12.4798100625
OC-73090801__T1,T1,1,2,1140,16.873372938570554,14.2050440625,14.1394426875
OC-73090801__T1,T1,1,2,1160,17.28748577537611,13.4250174375,13.1340801875
OC-73090801__T1,T1,1,2,1180,18.644169237181664,10.64892025,10.3153496875
OC-73090801__T1,T1,1,2,1200,21.05370380604013,10.2336873125,9.538627125
OC-73090801__T1,T1,1,2,1220,23.098630677567908,8.38183371875,8.2535364375
OC-73090801__T1,T1,1,2,1240,24.02700091541513,7.48513459375,7.250929625
OC-73090801__T1,T1,1,2,1260,25.497095627220688,6.58343821875,6.41606578125
OC-73090801__T1,T1,1,2,1280,25.63776964024152,5.846529375,5.94103121875
OC-73090801__T1,T1,1,2,1300,25.12840912374846,5.644986875,5.67890434375
OC-73090801__T1,T1,1,2,1320,25.19852126090124,5.25901853125,5.2866816875
OC-73090801__T1,T1,1,2,1340,24.61680840933874,5.272510921875,5.35402696875
OC-73090801__T1,T1,1,2,1360,24.10166258729013,6.124235640625,6.159666875
OC-73090801__T1,T1,1,2,1380,24.38261347357485,6.2090793125,6.176426875
OC-73090801__T1,T1,1,2,1400,24.211099193426026,5.71389059375,5.741637328125
OC-73090801__T1,T1,1,2,1420,24.190437420856583,6.13659140625,6.037145234375
OC-73090801__T1,T1,1,2,1440,24.661728133530193,6.276342875,6.321025171875
OC-73090801__T1,T1,1,2,1460,24.79021338439825,5.765577375,5.76071425
OC-73090801__T1,T1,1,2,1480,24.21356727328714,5.8958526875,5.91533009375
OC-73090801__T1,T1,1,2,1500,24.418805202106583,5.76757346875,5.65320921875
OC-73090801__T1,T1,1,2,1520,24.89332560141214,5.4670509375,5.3642325625
