family,time_s,turbine,row,MPC_disk_normal_m_s,NOYAW_disk_normal_m_s,MPC_filtered_disk_m_s,NOYAW_filtered_disk_m_s,delta_filtered_disk_m_s,yaw_deg
T1,1560,5,2,3.8430826663970947,3.726215124130249,3.8154263496398926,3.701054573059082,0.11437177658081055,2.914369583129883
T1,1560,6,2,3.867016315460205,3.718827247619629,3.8936736583709717,3.7481610774993896,0.14551258087158203,7.315794944763184
T1,1560,7,3,4.052255153656006,3.6504464149475098,4.017430305480957,3.630984306335449,0.3864459991455078,-0.27764981985092163
T1,1560,8,3,3.582528591156006,3.7874863147735596,3.587510347366333,3.799927234649658,-0.2124168872833252,0.4038945436477661
T1,1560,9,3,5.020420551300049,5.030586242675781,5.061398029327393,5.046073913574219,0.015324115753173828,-1.8581138849258423
T1,1580,1,1,5.4792704582214355,5.51931095123291,5.5074639320373535,5.551943778991699,-0.0444798469543457,4.128695011138916
T1,1580,2,1,4.548062801361084,4.573965072631836,4.557352542877197,4.5800042152404785,-0.02265167236328125,3.820920705795288
T1,1580,3,1,4.75888729095459,4.789210319519043,4.769719123840332,4.8149566650390625,-0.04523754119873047,12.979378700256348
T1,1580,4,2,4.01458740234375,4.089003086090088,4.011547565460205,4.090410232543945,-0.07886266708374023,4.519399642944336
T1,1580,5,2,3.9275567531585693,3.8419580459594727,3.933598756790161,3.8451948165893555,0.08840394020080566,2.914369583129883
T1,1580,6,2,3.861285924911499,3.397036075592041,3.8465681076049805,3.3843111991882324,0.46225690841674805,7.315794944763184
T1,1580,7,3,4.024229049682617,3.823718309402466,4.037484169006348,3.8554625511169434,0.1820216178894043,-0.27764981985092163
T1,1580,8,3,4.0995283126831055,4.131868839263916,4.072599411010742,4.100189685821533,-0.027590274810791016,0.4038945436477661
T1,1580,9,3,4.699128150939941,4.547306060791016,4.668680667877197,4.5765275955200195,0.09215307235717773,-1.8581138849258423
T1,1600,1,1,5.167943954467773,5.165196895599365,5.166204452514648,5.1628899574279785,0.003314495086669922,0.13837575912475586
T1,1600,2,1,4.298683166503906,4.296405792236328,4.335831642150879,4.3335065841674805,0.0023250579833984375,-0.1753380298614502
T1,1600,3,1,4.642838478088379,4.791600227355957,4.631782054901123,4.775815486907959,-0.14403343200683594,13.132671356201172
T1,1600,4,2,4.065088748931885,4.103590488433838,4.080571174621582,4.116300106048584,-0.03572893142700195,0.5731990337371826
T1,1600,5,2,3.7992751598358154,3.7577288150787354,3.8024961948394775,3.7471542358398438,0.05534195899963379,5.812443733215332
T1,1600,6,2,4.0952839851379395,3.986201047897339,4.077118873596191,3.948150634765625,0.1289682388305664,3.6539320945739746
T1,1600,7,3,4.1350998878479,4.108311653137207,4.134448051452637,4.1160993576049805,0.01834869384765625,0.5613616108894348
T1,1600,8,3,4.091463565826416,4.138291835784912,4.076365947723389,4.118847846984863,-0.04248189926147461,0.7148640155792236
T1,1600,9,3,4.99223518371582,4.455272197723389,4.973844051361084,4.49479341506958,0.4790506362915039,-2.472101926803589
T1,1620,1,1,4.8590617179870605,4.858091831207275,4.803324222564697,4.802215099334717,0.0011091232299804688,0.13837575912475586
T1,1620,2,1,4.527577877044678,4.526675701141357,4.4790472984313965,4.477917671203613,0.0011296272277832031,-0.1753380298614502
T1,1620,3,1,4.684804439544678,4.766977787017822,4.684938430786133,4.7718610763549805,-0.08692264556884766,13.132671356201172
T1,1620,4,2,3.612708330154419,3.6694233417510986,3.636723518371582,3.689772844314575,-0.053049325942993164,0.5731990337371826
T1,1620,5,2,3.7849364280700684,3.8110568523406982,3.7618954181671143,3.7838821411132812,-0.021986722946166992,5.812443733215332
T1,1620,6,2,4.185375690460205,3.9859371185302734,4.176762580871582,3.9952356815338135,0.18152689933776855,3.6539320945739746
